title,offering,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,url
2 bedroom house for sale,buy,2200000,2,2,-33.9325011,18.7105317,S.O.A.,Houses,https://www.residentialpeople.com/za/property/wmu4ro-sectional-title/
2 bedroom flat/apartment for sale,buy,4750000,2,2,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/aznhhh-sectional-title/
1 bedroom flat/apartment for sale,buy,3250000,1,1,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/ny2cge-sectional-title/
4 bedroom house for sale,buy,2795000,4,3,-33.94208,18.70663,544.0,Houses,https://www.residentialpeople.com/za/property/odqkpy-kuils-river-jakarandas/
5 bedroom house for sale,buy,3300000,5,6,-33.7979449,18.4958989,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xkl3lg/
5 bedroom house for sale,buy,11995000,5,5,-33.90994,18.40877,S.O.A.,Houses,https://www.residentialpeople.com/za/property/y3rosz-freehold/
3 bedroom flat/apartment for sale,buy,8500000,3,2,-33.90994,18.40877,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/ca4qgw-sectional-title/
4 bedroom house for sale,buy,3400000,4,3,-33.7979449,18.4958989,S.O.A.,Houses,https://www.residentialpeople.com/za/property/gd62qx/
2 bedroom flat/apartment for sale,buy,2400000,2,1,-33.9095699,18.4100699,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/vujxom-sectional-title/
6 bedroom house for sale,buy,4350000,6,6,-33.8095889,18.4731283,S.O.A.,Houses,https://www.residentialpeople.com/za/property/rh33ho/
2 bedroom house for sale,buy,2495000,2,2,-34.008944,18.466278,S.O.A.,Houses,https://www.residentialpeople.com/za/property/r4olmt/
2 bedroom house for sale,buy,850000,2,1,-33.941385,18.70664,198.0,Houses,https://www.residentialpeople.com/za/property/zlz5wh-28-aspeling-highbury-kuils-river/
4 bedroom house for sale,buy,1580000,4,3,-33.94208,18.70663,S.O.A.,Houses,https://www.residentialpeople.com/za/property/eb461j6t-kuils-river-highbury/
4 bedroom house for sale,buy,11000000,4,3,-33.9128241,18.4098246,S.O.A.,Houses,https://www.residentialpeople.com/za/property/c22ned/
4 bedroom house for sale,buy,3445000,4,3,-33.7979449,18.4958989,S.O.A.,Houses,https://www.residentialpeople.com/za/property/zl369t-freehold/
5 bedroom house for sale,buy,3195000,5,3,-33.8067307,18.4791809,S.O.A.,Houses,https://www.residentialpeople.com/za/property/vaxc6o/
3 bedroom house for sale,buy,1995000,3,2,-33.7972444,18.4988273,S.O.A.,Houses,https://www.residentialpeople.com/za/property/tnvjgh/
4 bedroom house for sale,buy,2750001,4,2,-33.7980665,18.498375,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ql5orj/
4 bedroom house for sale,buy,2795000,4,3,-33.7980665,18.498375,S.O.A.,Houses,https://www.residentialpeople.com/za/property/qmepuj/
3 bedroom house for sale,buy,2324000,3,2,-33.7980665,18.498375,S.O.A.,Houses,https://www.residentialpeople.com/za/property/b322kr/
3 bedroom house for sale,buy,2399000,3,2,-33.8381346,18.6819058,S.O.A.,Houses,https://www.residentialpeople.com/za/property/eqzo2f/
2 bedroom flat/apartment for sale,buy,2640000,2,1,-33.9114084,18.4104298,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/a7zuma/
3 bedroom house for sale,buy,1850000,3,2,-33.8950188,18.7094478,153.0,Houses,https://www.residentialpeople.com/za/property/ft6aag/
2 bedroom flat/apartment for sale,buy,980000,2,1,-34.0084456,18.4661816,76.0,Flats/Apartments,https://www.residentialpeople.com/za/property/odp4me/
1 bedroom flat/apartment for sale,buy,474000,1,1,-34.0084456,18.4661816,30.0,Flats/Apartments,https://www.residentialpeople.com/za/property/rvhmdg/
2 bedroom new house for sale,buy,2495000,2,1,-34.0087467,18.4665205,82.0,New Houses,https://www.residentialpeople.com/za/property/baqufz-13-vriedenhof-rd-wynberg-cape-town-7800-south-africa/
3 bedroom house for sale,buy,3150000,3,2,-33.8915622,18.7088833,333.0,Houses,https://www.residentialpeople.com/za/property/vt8szl/
3 bedroom house for sale,buy,12500000,3,2,-33.9955191,18.4493194,S.O.A.,Houses,https://www.residentialpeople.com/za/property/sj5esn/
6 bedroom house for sale,buy,2099000,6,2,-33.8666587,18.7005079,S.O.A.,Houses,https://www.residentialpeople.com/za/property/y5eryt-freehold/
2 bedroom flat/apartment for sale,buy,895000,2,1,-34.0084456,18.4661816,68.0,Flats/Apartments,https://www.residentialpeople.com/za/property/dxxrtl/
1 bedroom flat/apartment for sale,buy,1100000,1,1,-34.0084456,18.4661816,64.0,Flats/Apartments,https://www.residentialpeople.com/za/property/h8f23z/
2 bedroom garden cottage for sale,buy,2995000,2,3,-34.0084456,18.4661816,120.0,Garden Cottages,https://www.residentialpeople.com/za/property/jqvo6r/
4 bedroom house for sale,buy,2899000,4,3,-33.88503,18.7072,S.O.A.,Houses,https://www.residentialpeople.com/za/property/onanvt/
4 bedroom house for sale,buy,2990000,4,2,-33.7972444,18.4988273,S.O.A.,Houses,https://www.residentialpeople.com/za/property/old5rr-freehold/
3 bedroom house for sale,buy,1995000,3,2,-33.7972444,18.4988273,S.O.A.,Houses,https://www.residentialpeople.com/za/property/cq3vkj/
2 bedroom house for sale,buy,7850000,2,2,-33.908879,18.410441,S.O.A.,Houses,https://www.residentialpeople.com/za/property/w5xxoz-freehold/
4 bedroom house for sale,buy,4350000,4,2,-34.0084456,18.4661816,S.O.A.,Houses,https://www.residentialpeople.com/za/property/bcqc4t/
3 bedroom house for sale,buy,2150000,3,2,-33.7972444,18.4988273,S.O.A.,Houses,https://www.residentialpeople.com/za/property/r64bbv/
3 bedroom house for sale,buy,1850000,3,1,-34.0242493,18.4943751,S.O.A.,Houses,https://www.residentialpeople.com/za/property/lroogg/
4 bedroom house for sale,buy,3451000,4,3,-33.7972444,18.4988273,S.O.A.,Houses,https://www.residentialpeople.com/za/property/a8eanr/
4 bedroom house for sale,buy,3499000,4,3,-33.7972444,18.4988273,S.O.A.,Houses,https://www.residentialpeople.com/za/property/o2aoyb-freehold/
3 bedroom house for sale,buy,3350000,3,2,-33.88494,18.70812,S.O.A.,Houses,https://www.residentialpeople.com/za/property/zlcwce/
3 bedroom house for sale,buy,2095000,3,2,-33.7972444,18.4988273,S.O.A.,Houses,https://www.residentialpeople.com/za/property/uz395d/
4 bedroom house for sale,buy,699000,4,1,-34.0283893,18.6145938,S.O.A.,Houses,https://www.residentialpeople.com/za/property/syngcx/
3 bedroom house for sale,buy,529000,3,1,-34.0283893,18.6145938,S.O.A.,Houses,https://www.residentialpeople.com/za/property/1obvrioc/
2 bedroom house for sale,buy,899000,2,1,-33.941385,18.70664,198.0,Houses,https://www.residentialpeople.com/za/property/zh3yrs-kuils-river-highbury/
2 bedroom house for sale,buy,759000,2,1,-34.0283893,18.6145938,160.0,Houses,https://www.residentialpeople.com/za/property/l6ocuu/
5 bedroom house for sale,buy,1850000,5,3,-34.0242493,18.4943751,189.0,Houses,https://www.residentialpeople.com/za/property/b95ytq/
3 bedroom house for sale,buy,749000,3,2,-34.0283893,18.6145938,S.O.A.,Houses,https://www.residentialpeople.com/za/property/bnbudn/
2 bedroom flat/apartment for sale,buy,350000,2,1,-33.941385,18.7066398,46.0,Flats/Apartments,https://www.residentialpeople.com/za/property/eugz3x/
