title,offering,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,url
2 bedroom flat/apartment for rent,rent,16627200,2,1,-33.9090749,18.5663694,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/clva5q/
3 bedroom townhouse for sale,buy,2195000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/gwutps-sectional-title/
4 bedroom house for sale,buy,3170000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xnx42w/
2 bedroom flat/apartment for sale,buy,1095000,2,1,-33.8275335,18.6526846,79.0,Flats/Apartments,https://www.residentialpeople.com/za/property/qngh7v/
3 bedroom townhouse for sale,buy,2300000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/d76bvv/
4 bedroom house for sale,buy,4950000,4,1,-33.9352551,18.4265847,S.O.A.,Houses,https://www.residentialpeople.com/za/property/qgjkzl/
3 bedroom townhouse for sale,buy,2290000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/n5bh5p/
2 bedroom house for sale,buy,2095000,2,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/n26nng/
4 bedroom house for sale,buy,3795000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xupztn/
3 bedroom house for sale,buy,2195000,3,1,-33.8222878,18.4771884,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mhdn7b/
3 bedroom house for sale,buy,7750000,3,2,-33.984508,18.4554304,S.O.A.,Houses,https://www.residentialpeople.com/za/property/fmpezo/
5 bedroom house for sale,buy,5250000,5,5,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/k7scve/
1 bedroom flat/apartment for sale,buy,3200000,1,1,-33.912599,18.424837,55.0,Flats/Apartments,https://www.residentialpeople.com/za/property/gcojl7c2-27-duncan-road-foreshore-cape-town/
2 bedroom duplex for sale,buy,679990,2,1,-33.9706034,18.6762824,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/esclnh/
1 bedroom flat/apartment for sale,buy,3200000,1,1,-33.912599,18.424837,55.0,Flats/Apartments,https://www.residentialpeople.com/za/property/y22lc54d-27-duncan-road-foreshore-cape-town/
3 bedroom house for sale,buy,1150000,3,2,-33.9629739,18.6814189,S.O.A.,Houses,https://www.residentialpeople.com/za/property/h3z5xw/
4 bedroom house for sale,buy,2599000,4,4,-33.8704164,18.687338,326.0,Houses,https://www.residentialpeople.com/za/property/rgwvbcfd/
4 bedroom house for sale,buy,2500000,4,3,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/pqvqnc-freehold/
3 bedroom house for sale,buy,1050000,3,2,-33.9613163,18.68213,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ze8gvl/
3 bedroom house for sale,buy,1899001,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/js34mj/
3 bedroom house for sale,buy,1850000,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mkwdtq/
3 bedroom house for sale,buy,1795000,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nautvv/
4 bedroom house for sale,buy,2600000,4,1,-33.995478,19.294247,S.O.A.,Houses,https://www.residentialpeople.com/za/property/h9fv7v/
4 bedroom house for sale,buy,1739000,4,2,-33.9386626,18.6920731,170.0,Houses,https://www.residentialpeople.com/za/property/m3vbzh/
3 bedroom house for sale,buy,1795000,3,2,-33.995478,19.294247,S.O.A.,Houses,https://www.residentialpeople.com/za/property/lk73xl/
3 bedroom house for sale,buy,1299000,3,1,-33.9386626,18.6920731,84.0,Houses,https://www.residentialpeople.com/za/property/rhy6sb/
3 bedroom house for sale,buy,2290000,3,2,-33.9918901,19.2915067,S.O.A.,Houses,https://www.residentialpeople.com/za/property/gqtebk/
2 bedroom house for sale,buy,1185000,2,1,-33.9918901,19.2915067,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mckd5o-freehold/
title,offering,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,url
2 bedroom flat/apartment for rent,rent,16627200,2,1,-33.9090749,18.5663694,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/clva5q/
2 bedroom flat/apartment for sale,buy,1095000,2,1,-33.8275335,18.6526846,79.0,Flats/Apartments,https://www.residentialpeople.com/za/property/qngh7v/
4 bedroom house for sale,buy,3170000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xnx42w/
4 bedroom house for sale,buy,4250000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/gfxgvg/
2 bedroom flat/apartment for sale,buy,1250000,2,1,-33.8275335,18.6526846,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/hygs5j/
4 bedroom house for sale,buy,4850000,4,5,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/yjkoxw/
4 bedroom house for sale,buy,3795000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xupztn/
3 bedroom house for sale,buy,2750000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/r7rsjt/
2 bedroom flat/apartment for sale,buy,1060000,2,2,-33.8275335,18.6526846,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/l2q84o/
2 bedroom flat/apartment for sale,buy,1026685,2,1,-33.8033403,18.5204668,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/ofprml/
2 bedroom duplex for sale,buy,679990,2,1,-33.9706034,18.6762824,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/esclnh/
5 bedroom house for sale,buy,5250000,5,5,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/k7scve/
4 bedroom house for sale,buy,2500000,4,3,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/pqvqnc-freehold/
5 bedroom house for sale,buy,2995000,5,6,-33.9201504,18.6962464,364.0,Houses,https://www.residentialpeople.com/za/property/shqcnq/
3 bedroom house for sale,buy,3495000,3,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/svyv4e/
1 bedroom flat/apartment for sale,buy,3995000,1,1,-33.9126003,18.4249576,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/fwb26e-sectional-title/
3 bedroom house for sale,buy,1899001,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/js34mj/
3 bedroom house for sale,buy,2690000,3,2,-33.9201504,18.6962464,310.0,Houses,https://www.residentialpeople.com/za/property/v13a16xc/
3 bedroom penthouse for sale,buy,1950000,3,2,-33.818816,18.4828803,S.O.A.,Penthouses,https://www.residentialpeople.com/za/property/y9ze4b/
1 bedroom flat/apartment for sale,buy,3995000,1,1,-33.9126003,18.4249576,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/rb24vj-sectional-title/
2 bedroom flat/apartment for sale,buy,6995000,2,2,-33.9126003,18.4249576,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/eosdud-sectional-title/
2 bedroom flat/apartment for sale,buy,7250000,2,2,-33.9126003,18.4249576,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/csuv3u-sectional-title/
3 bedroom house for sale,buy,1790000,3,2,-33.8046004,18.5188582,S.O.A.,Houses,https://www.residentialpeople.com/za/property/j579kr/
4 bedroom house for sale,buy,7500000,4,2,-33.9379684,18.4287422,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mpnltj/
4 bedroom house for sale,buy,1850000,4,2,-33.8046004,18.5188582,S.O.A.,Houses,https://www.residentialpeople.com/za/property/entjwb-freehold/
3 bedroom house for sale,buy,1795000,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nautvv/
3 bedroom house for sale,buy,1795000,3,2,-33.995478,19.294247,S.O.A.,Houses,https://www.residentialpeople.com/za/property/lk73xl/
2 bedroom flat/apartment for sale,buy,1150000,2,1,-34.0167339,18.5121827,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/kptalj1e-sectional-title/
3 bedroom house for sale,buy,7500000,3,2,-33.9379684,18.4287422,S.O.A.,Houses,https://www.residentialpeople.com/za/property/v3fzuk/
3 bedroom house for sale,buy,1850000,3,2,-33.8067534,18.511739,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mkwdtq/
4 bedroom house for sale,buy,2600000,4,1,-33.995478,19.294247,S.O.A.,Houses,https://www.residentialpeople.com/za/property/h9fv7v/
4 bedroom house for sale,buy,2500000,4,4,-33.9917079,19.2934479,S.O.A.,Houses,https://www.residentialpeople.com/za/property/f6bqdo/
3 bedroom house for sale,buy,1595000,3,2,-33.9971632,19.2925032,S.O.A.,Houses,https://www.residentialpeople.com/za/property/xerr3w-freehold/
3 bedroom house for sale,buy,1050000,3,2,-33.9613163,18.68213,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ze8gvl/
3 bedroom house for sale,buy,900000,3,1,-33.9918901,19.2915067,S.O.A.,Houses,https://www.residentialpeople.com/za/property/s5zj9p-freehold/
2 bedroom house for sale,buy,1595000,2,1,-33.9918901,19.2915067,S.O.A.,Houses,https://www.residentialpeople.com/za/property/o69jqd-freehold/
4 bedroom house for sale,buy,1739000,4,2,-33.9386626,18.6920731,170.0,Houses,https://www.residentialpeople.com/za/property/m3vbzh/
3 bedroom house for sale,buy,1299000,3,1,-33.9386626,18.6920731,84.0,Houses,https://www.residentialpeople.com/za/property/rhy6sb/
3 bedroom house for sale,buy,1690000,3,2,-33.9386626,18.6920731,140.0,Houses,https://www.residentialpeople.com/za/property/d427ll/
8 bedroom house for sale,buy,8550000,8,8,-33.938462,18.429032,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ammmzu/
4 bedroom house for sale,buy,2050000,4,3,-33.9386626,18.6920731,190.0,Houses,https://www.residentialpeople.com/za/property/m3fj5n/
4 bedroom house for sale,buy,7250000,4,2,-33.938462,18.429032,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ns7zws/
1 bedroom flat/apartment for sale,buy,2195000,1,1,-33.9264539,18.4257912,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/hnmypy-sectional-title/
4 bedroom house for sale,buy,2989000,4,2,-33.9201504,18.6962464,414.0,Houses,https://www.residentialpeople.com/za/property/yjm2se/
1 bedroom flat/apartment for sale,buy,2850000,1,1,-33.9264539,18.4257912,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/tqbjkc-sectional-title/
5 bedroom house for sale,buy,3950000,5,5,-33.9201504,18.6962464,550.0,Houses,https://www.residentialpeople.com/za/property/f6wske/
1 bedroom flat/apartment for sale,buy,3200000,1,1,-33.912599,18.424837,55.0,Flats/Apartments,https://www.residentialpeople.com/za/property/gcojl7c2-27-duncan-road-foreshore-cape-town/
3 bedroom house for sale,buy,2699000,3,2,-33.9201504,18.6962464,S.O.A.,Houses,https://www.residentialpeople.com/za/property/17ldg6l3/
1 bedroom flat/apartment for sale,buy,1850000,1,1,-33.9264539,18.4257912,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/vu7gsn-sectional-title/
1 bedroom flat/apartment for sale,buy,3200000,1,1,-33.912599,18.424837,55.0,Flats/Apartments,https://www.residentialpeople.com/za/property/y22lc54d-27-duncan-road-foreshore-cape-town/
3 bedroom house for sale,buy,1150000,3,2,-33.9629739,18.6814189,S.O.A.,Houses,https://www.residentialpeople.com/za/property/h3z5xw/
3 bedroom house for sale,buy,2699000,3,2,-33.9201504,18.6962464,310.0,Houses,https://www.residentialpeople.com/za/property/pvooob/
3 bedroom house for sale,buy,1900000,3,2,-33.9319323,18.6940193,200.0,Houses,https://www.residentialpeople.com/za/property/d924cw/
3 bedroom townhouse for sale,buy,1625000,3,2,-33.9319323,18.6940193,143.0,Townhouses,https://www.residentialpeople.com/za/property/u73wrc/
4 bedroom house for sale,buy,3195000,4,3,-33.8925432,18.6950237,335.0,Houses,https://www.residentialpeople.com/za/property/a77fyz/
2 bedroom flat/apartment for sale,buy,7995000,2,2,-33.9126003,18.4249576,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/q9bmvl-sectional-title/
2 bedroom flat/apartment for sale,buy,7995000,2,2,-33.9126003,18.4249576,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/v87zkh-sectional-title/
4 bedroom house for sale,buy,2599000,4,2,-33.9201504,18.6962464,235.0,Houses,https://www.residentialpeople.com/za/property/nmvdhh/
3 bedroom townhouse for sale,buy,1295000,3,1,-33.9319323,18.6940193,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/kuewaf/
4 bedroom house for sale,buy,3195000,4,3,-33.8597969,18.6811995,340.0,Houses,https://www.residentialpeople.com/za/property/v3v3ox/
3 bedroom house for sale,buy,24950000,3,3,-33.8747783,18.6895651,S.O.A.,Houses,https://www.residentialpeople.com/za/property/b7qo9z-freehold/
3 bedroom house for sale,buy,2195000,3,1,-33.8222878,18.4771884,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mhdn7b/
3 bedroom house for sale,buy,1980000,3,2,-33.81293,18.4939057,S.O.A.,Houses,https://www.residentialpeople.com/za/property/kg4ycg-freehold/
1 bedroom flat/apartment for sale,buy,975000,1,1,-33.818816,18.4828803,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/jcd8uw/
4 bedroom house for sale,buy,4995000,4,4,-33.9344639,18.4269045,S.O.A.,Houses,https://www.residentialpeople.com/za/property/rozljs/
4 bedroom house for sale,buy,2250000,4,3,-33.8092387,18.5025682,S.O.A.,Houses,https://www.residentialpeople.com/za/property/vny24q/
2 bedroom flat/apartment for sale,buy,1295000,2,1,-33.818816,18.4828803,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/utcsyv/
1 bedroom flat/apartment for sale,buy,2275000,1,1,-33.916595,18.423866,82.0,Flats/Apartments,https://www.residentialpeople.com/za/property/friw7mod-1-bree-street-cape-town-city-centre-cape-town/
3 bedroom house for sale,buy,3995000,3,3,-33.818816,18.4828803,S.O.A.,Houses,https://www.residentialpeople.com/za/property/zllf5h-freehold/
4 bedroom house for sale,buy,2599000,4,4,-33.8704164,18.687338,326.0,Houses,https://www.residentialpeople.com/za/property/rgwvbcfd/
2 bedroom flat/apartment for sale,buy,2575000,2,1,-33.9970036,18.4703694,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/bvpdxz-sectional-title/
3 bedroom house for sale,buy,2250000,3,2,-33.8077528,18.5054281,S.O.A.,Houses,https://www.residentialpeople.com/za/property/yhzmsy/
3 bedroom house for sale,buy,7750000,3,2,-33.984508,18.4554304,S.O.A.,Houses,https://www.residentialpeople.com/za/property/fmpezo/
3 bedroom house for sale,buy,1650000,3,2,-33.8060457,18.5107785,S.O.A.,Houses,https://www.residentialpeople.com/za/property/hghbqv/
3 bedroom house for sale,buy,1850000,3,2,-33.8060457,18.5107785,S.O.A.,Houses,https://www.residentialpeople.com/za/property/qmgj2a/
4 bedroom house for sale,buy,2595000,4,2,-33.820986,18.642539,S.O.A.,Houses,https://www.residentialpeople.com/za/property/wng8ws-freehold/
4 bedroom house for sale,buy,13995000,4,4,-33.991569,18.46431,331.0,Houses,https://www.residentialpeople.com/za/property/k61bwg0w-kenilworth-cape-town/
5 bedroom house for sale,buy,2300001,5,4,-33.8060457,18.5107785,S.O.A.,Houses,https://www.residentialpeople.com/za/property/grx8jt/
4 bedroom house for sale,buy,2989000,4,2,-33.9201504,18.6962464,414.0,Houses,https://www.residentialpeople.com/za/property/mpxlzg/
2 bedroom flat/apartment for sale,buy,1100000,2,1,-33.8033403,18.5204668,65.0,Flats/Apartments,https://www.residentialpeople.com/za/property/e5pyqj/
6 bedroom house for sale,buy,2599000,6,3,-33.8704164,18.687338,300.0,Houses,https://www.residentialpeople.com/za/property/x8vtuw/
4 bedroom house for sale,buy,4600000,4,3,-33.9170077,18.4246348,S.O.A.,Houses,https://www.residentialpeople.com/za/property/wkczyr/
3 bedroom house for sale,buy,2149999,3,3,-33.8140575,18.4921031,S.O.A.,Houses,https://www.residentialpeople.com/za/property/p7z49l-freehold/
2 bedroom house for sale,buy,1294000,2,2,-33.808199,18.5059066,S.O.A.,Houses,https://www.residentialpeople.com/za/property/zxz7gv-freehold/
4 bedroom house for sale,buy,4200000,4,3,-33.9170077,18.4246348,S.O.A.,Houses,https://www.residentialpeople.com/za/property/sez5vx/
4 bedroom house for sale,buy,2995000,4,7,-33.9201504,18.6962464,458.0,Houses,https://www.residentialpeople.com/za/property/fkpcgm/
3 bedroom townhouse for sale,buy,2425000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/ddk64j/
1 bedroom house for sale,buy,2595000,1,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/uo5otx/
2 bedroom townhouse for sale,buy,1699000,2,1,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/yqjxwx/
2 bedroom flat/apartment for sale,buy,1050000,2,1,-33.8621074,18.6838211,63.0,Flats/Apartments,https://www.residentialpeople.com/za/property/poyf4v/
4 bedroom house for sale,buy,4950000,4,1,-33.9352551,18.4265847,S.O.A.,Houses,https://www.residentialpeople.com/za/property/qgjkzl/
4 bedroom house for sale,buy,4200000,4,3,-33.9352551,18.4265847,S.O.A.,Houses,https://www.residentialpeople.com/za/property/vvvo5u/
2 bedroom flat/apartment for sale,buy,1250000,2,2,-33.8048847,18.5135883,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/dex67f/
1 bedroom flat/apartment for sale,buy,1767500,1,1,-33.8275335,18.6526846,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/enhtqt/
3 bedroom townhouse for sale,buy,2080000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/kn9ojh/
4 bedroom house for sale,buy,2280000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/oxj2bb/
3 bedroom townhouse for sale,buy,1780000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/jjt89o/
3 bedroom house for sale,buy,2650000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nng87l/
4 bedroom house for sale,buy,4200000,4,3,-33.9352551,18.4265847,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mk2nag-freehold/
3 bedroom duplex for sale,buy,2462680,3,2,-33.8275335,18.6526846,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/en8jzb/
4 bedroom house for sale,buy,2750000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/cod28w/
2 bedroom flat/apartment for sale,buy,1250000,2,1,-33.8275335,18.6526846,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/n9ffho/
3 bedroom house for sale,buy,2795000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/krjvty/
4 bedroom house for sale,buy,3350000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ekws5w/
3 bedroom townhouse for sale,buy,2275000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/zp68eg/
3 bedroom flat/apartment for sale,buy,1599000,3,2,-33.8275335,18.6526846,80.0,Flats/Apartments,https://www.residentialpeople.com/za/property/q7o5es/
3 bedroom townhouse for sale,buy,2300000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/d76bvv/
2 bedroom flat/apartment for sale,buy,1635000,2,2,-33.8275335,18.6526846,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/mk4t4w/
4 bedroom house for sale,buy,3495000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/follcy/
3 bedroom house for sale,buy,2399000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/khbf5m/
4 bedroom house for sale,buy,5295000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/pqtosz/
3 bedroom house for sale,buy,3350000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/vmmxop/
3 bedroom house for sale,buy,2699000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/oys8oc/
3 bedroom townhouse for sale,buy,2245000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/pjkoxe/
3 bedroom house for sale,buy,2399000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/wkc7es/
3 bedroom townhouse for sale,buy,2290000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/n5bh5p/
3 bedroom house for sale,buy,3650000,3,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nrtwcl/
3 bedroom house for sale,buy,2349000,3,2,-33.8275335,18.6526846,139.0,Houses,https://www.residentialpeople.com/za/property/tt2d4m/
2 bedroom house for sale,buy,2095000,2,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/n26nng/
3 bedroom townhouse for sale,buy,2295000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/ebh95v/
3 bedroom townhouse for sale,buy,2040000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/qpcgel/
3 bedroom house for sale,buy,3999000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/rgzd2z/
3 bedroom townhouse for sale,buy,2195000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/u96s6q/
3 bedroom house for sale,buy,3995000,3,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/v5ggqn/
4 bedroom house for sale,buy,3650000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ue8qzl/
5 bedroom house for sale,buy,2595000,5,2,-33.8275335,18.6526846,251.0,Houses,https://www.residentialpeople.com/za/property/cypozt/
3 bedroom house for sale,buy,2195000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/sb6vgt/
3 bedroom house for sale,buy,3750000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/dsmytg/
6 bedroom house for sale,buy,5950000,6,6,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/u68pcg/
3 bedroom house for sale,buy,2699000,3,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nrh99m/
4 bedroom house for sale,buy,4395000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/wsdvuh/
3 bedroom house for sale,buy,2398000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/yn3lkq/
3 bedroom townhouse for sale,buy,3195000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/vc98tm/
3 bedroom house for sale,buy,3695000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/w9kpja/
3 bedroom townhouse for sale,buy,2195000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/gwutps-sectional-title/
3 bedroom duplex for sale,buy,2624440,3,2,-33.8275335,18.6526846,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/a5ju2g-sectional-title/
2 bedroom flat/apartment for sale,buy,1340000,2,1,-33.8275335,18.6526846,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/a8otvh-sectional-title/
4 bedroom house for sale,buy,3995000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/g3s9ap/
4 bedroom house for sale,buy,2650000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/brytmc/
3 bedroom townhouse for sale,buy,4699000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/p584nz/
4 bedroom house for sale,buy,2595000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/t8pzqq/
3 bedroom house for sale,buy,4200000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ulm9xv/
3 bedroom house for sale,buy,2695000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/gr888a/
4 bedroom house for sale,buy,3195000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/f6z4yj/
3 bedroom house for sale,buy,2790000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/vfutmy/
3 bedroom house for sale,buy,3650000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/dekhwh/
3 bedroom house for sale,buy,2495000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/b9th2w/
3 bedroom house for sale,buy,4699000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/hpau5w/
10 bedroom house for sale,buy,2995000,10,8,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/hagxdk/
3 bedroom duplex for sale,buy,2462680,3,2,-33.8275335,18.6526846,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/msn3ep/
2 bedroom flat/apartment for sale,buy,1250000,2,1,-33.8275335,18.6526846,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/wdqztm/
3 bedroom townhouse for sale,buy,2290000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/lnjruj/
4 bedroom house for sale,buy,3995000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/gtkpwh/
4 bedroom house for sale,buy,2468000,4,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/lpv9fb/
3 bedroom house for sale,buy,3775000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/j97skk/
4 bedroom house for sale,buy,3995000,4,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/sqbwts/
3 bedroom house for sale,buy,2795000,3,2,-33.8275335,18.6526846,184.0,Houses,https://www.residentialpeople.com/za/property/rbfqgx/
3 bedroom house for sale,buy,2250000,3,1,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/fflgyb/
3 bedroom house for sale,buy,2750000,3,3,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/rbhmls/
3 bedroom house for sale,buy,2350000,3,2,-33.8275335,18.6526846,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mndj9p/
5 bedroom house for sale,buy,3800000,5,4,-33.8275335,18.6526846,337.0,Houses,https://www.residentialpeople.com/za/property/tvpdzs/
3 bedroom townhouse for sale,buy,2300000,3,2,-33.8275335,18.6526846,S.O.A.,Townhouses,https://www.residentialpeople.com/za/property/toatjf/
