,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,binned_price
1902,990000,2.0,2,-33.9321045,18.860152,,Flats/Apartments,6
1903,4450000,4.0,3,-33.9321045,18.860152,,Houses,24
1904,4600000,3.0,2,-34.0450105,18.8136036,,Houses,25
1906,3750000,3.0,2,-33.9321045,18.860152,,Houses,21
1908,3150000,3.0,2,-33.9321045,18.860152,,Houses,17
1909,2695000,3.0,2,-33.9321045,18.860152,,Houses,15
1910,1625000,2.0,1,-33.9281824,18.861069699999998,,Flats/Apartments,9
1911,1995000,1.0,1,-33.933429100000005,18.860381,,Flats/Apartments,11
1912,1980000,3.0,2,-34.129269,18.4125729,,Townhouses,11
1913,2195000,4.0,3,-34.1284955,18.411337,,Duplex,12
1914,3200000,3.0,2,-33.959153,18.855934,165.0,Houses,18
1915,1345000,3.0,1,-33.9503387,18.858861800000003,,Houses,8
1916,2395000,4.0,3,-34.1284955,18.411337,,Duplex,13
1917,2399000,4.0,3,-34.1284955,18.411337,,Townhouses,13
1918,2399000,4.0,3,-34.1284955,18.411337,,Townhouses,13
1919,1550000,2.0,2,-34.129929,18.412885,265.0,Houses,9
1920,1730000,3.0,2,-33.963906,18.855832,72.0,Townhouses,10
1921,2300000,4.0,3,-34.136899799999995,18.428376899999996,222.0,Houses,13
1922,7600000,3.0,2,-33.9427698,18.8597732,,Houses,41
1923,2999000,3.0,3,-34.136707,18.428991,679.0,Houses,17
1924,1945000,2.0,1,-34.129020000000004,18.41295,268.0,Houses,11
1925,2295000,2.0,2,-34.13772410000001,18.431846,103.0,Flats/Apartments,13
1926,2295000,2.0,2,-34.13772410000001,18.431846,103.0,Flats/Apartments,13
1927,1695000,4.0,0,-34.1340882,18.4187029,,Farms and Land,10
1928,7200000,3.0,6,-33.963906,18.855832,342.0,Houses,39
1929,1250000,2.0,1,-34.1340882,18.4187029,85.0,Flats/Apartments,7
1930,1450000,1.0,1,-33.931575,18.862871,38.0,Flats/Apartments,8
1931,3500000,2.0,1,-33.928990999999996,18.8631878,,Townhouses,19
1932,2695000,4.0,2,-34.1340882,18.4187029,120.0,Houses,15
1933,5775000,3.0,2,-33.9632369,18.8576823,,Houses,32
1934,4500000,3.0,2,-33.9632369,18.8576823,,Townhouses,25
1935,3950000,5.0,2,-34.1340882,18.4187029,433.0,Houses,22
1936,2095000,3.0,2,-34.1340882,18.4187029,,Houses,12
1937,1995000,2.0,2,-34.1340882,18.4187029,102.0,Flats/Apartments,11
1938,4600000,2.0,2,-33.937808000000004,18.862092999999998,77.0,Flats/Apartments,25
1939,6950000,5.0,4,-34.1340882,18.4187029,468.0,Houses,38
1940,2200000,3.0,2,-34.138428000000005,18.430699,257.0,Townhouses,12
1941,1895000,3.0,1,-34.1340882,18.4187029,,Houses,11
1942,1850000,3.0,2,-34.134088,18.418703,104.0,Houses,10
1943,3380000,3.0,2,-34.118064000000004,18.38757,146.0,Houses,19
1944,1990000,1.0,1,-33.9318756,18.862083300000002,,Flats/Apartments,11
1945,1155000,2.0,2,-33.9503387,18.858861800000003,,Houses,7
1946,1399000,3.0,2,-33.9503387,18.858861800000003,,Houses,8
1947,2395000,4.0,1,-34.12317,18.39836,,Houses,13
1948,1540000,3.0,2,-33.9503387,18.858861800000003,,Houses,9
1949,6500000,4.0,2,-33.951808299999996,18.858591399999998,,Houses,35
1950,1350000,2.0,1,-33.9503387,18.858861800000003,,Houses,8
1951,2200000,6.0,6,-33.9503387,18.858861800000003,,Houses,12
1952,2495000,4.0,2,-34.135822999999995,18.425696,160.0,Houses,14
1954,1895000,1.0,1,-33.934277,18.863534,23.0,Flats/Apartments,11
1955,1550000,1.0,1,-33.934277,18.863534,30.0,Flats/Apartments,9
1956,2250000,2.0,1,-33.934277,18.863534,38.0,Flats/Apartments,13
1957,6300000,2.0,2,-33.934277,18.863534,103.0,Flats/Apartments,34
1958,1620000,1.0,1,-33.934277,18.863534,26.0,Flats/Apartments,9
1959,1399000,3.0,2,-33.9503387,18.858861800000003,,Houses,8
1960,2800000,2.0,1,-33.934277,18.863534,54.0,Flats/Apartments,16
1961,1595000,2.0,1,-34.124340000000004,18.396060000000002,94.0,Townhouses,9
1962,2075000,4.0,3,-34.138308,18.42684,231.0,Houses,12
1963,1580000,1.0,1,-33.934277,18.863534,19.0,Flats/Apartments,9
1964,760000,1.0,1,-33.922952,18.864817000000002,35.0,Flats/Apartments,5
1965,3970000,1.0,1,-33.934277,18.863534,74.0,Townhouses,22
1966,1950000,3.0,2,-34.127784999999996,18.404020000000003,637.0,Houses,11
1967,2495000,1.0,1,-33.937908,18.863435,29.0,Flats/Apartments,14
1969,2499000,6.0,4,-33.9231590412,18.8652130065,571.0,Houses,14
1970,1350000,1.0,1,-33.934277,18.863534,,Flats/Apartments,8
1971,4300000,4.0,3,-34.12878,18.404729999999997,433.0,Houses,24
1972,6600000,4.0,2,-33.954066,18.86066,343.0,Houses,36
1973,4850000,3.0,3,-33.9231590412,18.8652130065,230.0,Townhouses,27
1974,2500000,3.0,1,-33.9231590412,18.8652130065,,Townhouses,14
1975,1285000,1.0,1,-33.934277,18.863534,31.0,Flats/Apartments,7
1976,2205000,3.0,1,-33.9231590412,18.8652130065,86.0,Flats/Apartments,12
1977,1590000,3.0,2,-33.9231590412,18.8652130065,150.0,Houses,9
1979,5090000,3.0,2,-33.9231590412,18.8652130065,400.0,Houses,28
1980,3400000,3.0,2,-33.9231590412,18.8652130065,,Townhouses,19
1982,2200000,2.0,2,-33.9231590412,18.8652130065,52.0,Flats/Apartments,12
1983,1280000,2.0,1,-33.9231590412,18.8652130065,,Flats/Apartments,7
1984,1600000,1.0,1,-33.9231590412,18.8652130065,,Flats/Apartments,9
1985,2100000,3.0,2,-34.134527,18.415315,140.0,Flats/Apartments,12
1986,1379000,2.0,1,-33.9231590412,18.8652130065,,Flats/Apartments,8
1987,3120000,2.0,1,-33.9231590412,18.8652130065,,Flats/Apartments,17
1988,8750000,6.0,6,-33.9231590412,18.8652130065,621.0,Houses,48
1989,2800000,6.0,4,-34.132513700000004,18.411438699999998,,Houses,16
1991,8500000,4.0,3,-33.949040999999994,18.862326,376.0,Houses,46
1992,3950000,5.0,4,-34.13415,18.412689999999998,440.0,Houses,22
1993,7950000,6.0,3,-34.115761799999994,18.378251300000002,432.0,Houses,43
1994,1995000,2.0,2,-34.13859,18.423089899999997,,Flats/Apartments,11
1995,4250000,5.0,5,-34.134156,18.412699,,Houses,23
1996,7500000,4.0,4,-33.9231590412,18.8652130065,480.0,Houses,41
1999,2395000,2.0,2,-34.13859,18.423089899999997,,Flats/Apartments,13
2000,3950000,4.0,4,-34.13859,18.423089899999997,,Houses,22
2002,650000,2.0,1,-34.03048,18.831129999999998,,Flats/Apartments,4
2003,4500000,3.0,3,-33.9231590412,18.8652130065,179.0,Townhouses,25
2005,2700000,3.0,1,-34.13747,18.42138,150.0,Houses,15
2006,1250000,2.0,2,-34.142706,18.4341699,,Flats/Apartments,7
2007,1250000,2.0,2,-34.142706,18.4341699,,Flats/Apartments,7
2008,2395000,3.0,2,-34.03048,18.831129999999998,,Houses,13
2010,1795000,3.0,1,-34.125435499999995,18.3964496,103.0,Houses,10
2011,1595000,2.0,1,-34.125435499999995,18.3964496,94.0,Townhouses,9
2012,1195000,2.0,1,-34.1324574,18.4082607,81.0,Flats/Apartments,7
2013,2200000,3.0,1,-34.141325,18.431542999999998,,Flats/Apartments,12
2015,6200000,4.0,3,-33.9471946,18.8630177,,Houses,34
2017,3550000,3.0,2,-33.9832217,18.8544871,,Houses,20
2018,2400000,4.0,3,-34.137840000000004,18.42042,,Houses,13
2019,5700000,4.0,4,-33.98216970000001,18.855003,,Houses,31
2020,5950000,4.0,4,-33.9832217,18.8544871,,Houses,33
2021,5300000,4.0,4,-33.98216970000001,18.855003,,Houses,29
2022,4600000,3.0,2,-33.98216970000001,18.855003,,Houses,25
2023,5995000,3.0,4,-34.116937,18.379539,752.0,Houses,33
2024,4450000,4.0,3,-33.98216970000001,18.855003,,Houses,24
2025,3499999,5.0,3,-33.9277501,18.857746,,Houses,19
2026,880000,1.0,1,-34.1333815,18.4298983,,Flats/Apartments,5
2027,4950000,2.0,2,-33.9782971,18.848215300000003,,Houses,27
2029,1360000,2.0,2,-34.133407,18.435973999999998,69.0,Flats/Apartments,8
2030,2350000,3.0,2,-33.8987329,18.8534175,,Houses,13
2031,2550000,3.0,2,-34.1158201,18.3941074,,Houses,14
2032,4950000,3.0,2,-33.975119,18.842732,,Houses,27
2033,1995000,4.0,3,-34.132746000000004,18.436792999999998,209.0,Houses,11
2034,5400000,3.0,2,-33.975119,18.842732,,Houses,30
2035,1575000,4.0,4,-33.909760999999996,18.848088,268.0,Townhouses,9
2038,1695000,2.0,1,-33.9408075,18.8418631,,Flats/Apartments,10
2042,3950000,3.0,3,-34.10515,18.39726,370.0,Houses,22
2043,1495000,2.0,2,-34.054688,18.3444,101.0,Flats/Apartments,9
2044,3300000,5.0,3,-33.9336831,18.8359303,,Houses,18
2045,2550000,2.0,1,-33.94103,18.83405,135.0,Townhouses,14
2046,2460000,2.0,2,-33.94103,18.83405,168.0,Townhouses,14
2047,3295000,2.0,1,-34.122383,18.453554999999998,,Flats/Apartments,18
2048,1799000,3.0,2,-34.0947539,18.3949661,,Houses,10
2052,2500000,2.0,2,-33.870276200000006,18.830789399999997,,Cluster Houses,14
2053,1500000,2.0,2,-34.052157,18.344257,92.0,Flats/Apartments,9
2054,2650000,2.0,1,-33.939129,18.833128,,Townhouses,15
2056,2500000,2.0,1,-34.1197277,18.455053200000002,91.0,Flats/Apartments,14
2057,2500000,3.0,2,-33.870276200000006,18.830789399999997,,Cluster Houses,14
2058,3750000,4.0,3,-33.9328586,18.8335415,83.0,Houses,21
2059,2550000,2.0,1,-33.939129,18.833128,,Townhouses,14
2060,960000,2.0,2,-33.902805,18.843511,57.0,Flats/Apartments,6
2061,1200000,2.0,2,-33.9026189,18.842118,,Flats/Apartments,7
2062,4000000,1.0,1,-34.1197277,18.455053200000002,120.0,Flats/Apartments,22
2063,1050000,2.0,2,-33.903046999999994,18.842685,57.0,Flats/Apartments,6
2064,1200000,2.0,2,-33.902297,18.842722100000003,,Flats/Apartments,7
2065,1589000,3.0,2,-34.0623487,18.777624,,Houses,9
2067,3750000,4.0,3,-33.9337282,18.834078299999998,,Houses,21
2068,2799000,3.0,2,-33.9020374,18.8418767,,Houses,16
2069,2799000,3.0,2,-33.9020374,18.8418767,,Houses,16
2070,2600000,4.0,2,-34.051961,18.3367979,,Houses,14
2071,3890000,2.0,1,-34.1235011,18.452719199999997,,Flats/Apartments,21
